========== OUTPUT ==========
CloudletID   STATUS     DatacenterID    VMID     ExecTime     StartTime    FinishTime   WaitingTime 
14           SUCCESS    2               0        793.82       00.1         793.92       00          
12           SUCCESS    2               0        883.8        793.92       1677.72      793.82      
25           SUCCESS    2               0        1183.18      1677.72      2860.9       1677.62     
5            SUCCESS    2               0        1558.44      2860.9       4419.34      2860.8      
22           SUCCESS    2               0        1665.35      4419.34      6084.69      4419.24     
15           SUCCESS    2               0        1675.16      6084.69      7759.85      6084.59     
18           SUCCESS    2               0        1874.64      7759.85      9634.49      7759.75     
29           SUCCESS    2               0        1966.6       9634.49      11601.09     9634.39     
2            SUCCESS    2               0        2020.52      11601.09     13621.6      11600.99    
11           SUCCESS    2               0        2128.99      13621.6      15750.59     13621.5     
1            SUCCESS    2               0        2149.54      15750.59     17900.14     15750.49    
8            SUCCESS    2               0        2160.5       17900.14     20060.64     17900.04    
21           SUCCESS    2               0        2317.66      20060.64     22378.29     20060.54    
4            SUCCESS    2               0        2410.14      22378.29     24788.44     22378.19    
6            ANOMALY    2               0        2598.82      24788.44     27387.26     24788.34    
23           ANOMALY    2               0        2645.95      27387.26     30033.21     27387.16    
3            ANOMALY    2               0        2721.32      30033.21     32754.53     30033.11    
16           ANOMALY    2               0        2765.96      32754.53     35520.49     32754.43    
28           ANOMALY    2               0        2830.69      35520.49     38351.18     35520.39    
0            ANOMALY    2               0        2888.44      38351.18     41239.61     38351.08    
26           ANOMALY    2               0        3148.45      41239.61     44388.06     41239.51    
27           ANOMALY    2               0        3332.95      44388.06     47721.01     44387.96    
19           ANOMALY    2               0        3400.02      47721.01     51121.03     47720.91    
17           ANOMALY    2               0        3425.63      51121.03     54546.66     51120.93    
13           ANOMALY    2               0        3552.27      54546.66     58098.93     54546.56    
20           ANOMALY    2               0        3566.35      58098.93     61665.28     58098.83    
10           ANOMALY    2               0        3594.2       61665.28     65259.48     61665.18    
7            ANOMALY    2               0        3647.97      65259.48     68907.45     65259.38    
9            ANOMALY    2               0        3976.07      68907.45     72883.52     68907.35    
24           ANOMALY    2               0        4265.6       72883.52     77149.12     72883.42    
