========== OUTPUT ==========
CloudletID   STATUS     DatacenterID    VMID     ExecTime     StartTime    FinishTime   WaitingTime 
0            SUCCESS    2               0        658.68       00.1         658.78       00          
1            SUCCESS    3               1        729.1        00.1         729.2        00          
22           SUCCESS    4               2        855.26       00.1         855.36       00          
8            SUCCESS    5               3        1053         00.1         1053.1       00          
17           SUCCESS    6               4        1123.08      00.1         1123.18      00          
15           SUCCESS    2               0        1147.77      658.78       1806.55      658.68      
20           SUCCESS    3               1        1329.27      729.2        2058.47      729.1       
12           SUCCESS    4               2        1514.58      855.36       2369.94      855.26      
7            SUCCESS    5               3        1830.88      1053.1       2883.97      1053        
2            SUCCESS    6               4        1925.33      1123.18      3048.52      1123.08     
10           SUCCESS    2               0        1969.41      1806.55      3775.96      1806.45     
19           SUCCESS    3               1        1994.44      2058.47      4052.91      2058.37     
27           SUCCESS    4               2        1998.61      2369.94      4368.55      2369.84     
16           ANOMALY    5               3        2119.44      2883.97      5003.41      2883.87     
5            ANOMALY    6               4        2164.74      3048.52      5213.25      3048.42     
14           ANOMALY    2               0        2545.77      3775.96      6321.73      3775.86     
4            ANOMALY    3               1        2578.68      4052.91      6631.58      4052.81     
13           ANOMALY    4               2        2582.6       4368.55      6951.15      4368.45     
26           ANOMALY    5               3        2584.67      5003.41      7588.08      5003.31     
21           ANOMALY    6               4        2663.44      5213.25      7876.7       5213.15     
11           ANOMALY    2               0        2764.74      6321.73      9086.47      6321.63     
3            ANOMALY    3               1        2882.58      6631.58      9514.17      6631.48     
23           ANOMALY    4               2        3009.11      6951.15      9960.26      6951.05     
24           ANOMALY    5               3        3030.9       7588.08      10618.98     7587.98     
25           ANOMALY    6               4        3052.89      7876.7       10929.58     7876.6      
29           ANOMALY    2               0        3113.72      9086.47      12200.18     9086.37     
18           ANOMALY    3               1        3119.42      9514.17      12633.59     9514.07     
9            ANOMALY    4               2        3152.79      9960.26      13113.04     9960.16     
28           ANOMALY    5               3        3508.98      10618.98     14127.95     10618.88    
6            ANOMALY    6               4        3715.47      10929.58     14645.05     10929.48    

Anomaly detection results saved to runtime_log.txt
